Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
JUNIN,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,343,0.06%,2011
LA LIBERTAD,FUERZA 2011,PARTIDO POLÍTICO,"233,152",28.54%,2011
LA LIBERTAD,GANA PERU,PARTIDO POLÍTICO,"201,029",24.60%,2011
LA LIBERTAD,PERÚ POSIBLE,ALIANZA ELECTORAL,"149,451",18.29%,2011
LA LIBERTAD,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"117,648",14.40%,2011
LA LIBERTAD,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"108,012",13.22%,2011
LA LIBERTAD,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"3,300",0.40%,2011
LA LIBERTAD,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"1,345",0.17%,2011
LA LIBERTAD,FUERZA NACIONAL,PARTIDO POLÍTICO,"1,062",0.13%,2011
LA LIBERTAD,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,969,0.12%,2011
LA LIBERTAD,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,611,0.08%,2011
LA LIBERTAD,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,487,0.06%,2011
LAMBAYEQUE,FUERZA 2011,PARTIDO POLÍTICO,"165,048",27.85%,2011
LAMBAYEQUE,GANA PERU,PARTIDO POLÍTICO,"160,078",27.02%,2011
LAMBAYEQUE,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"141,073",23.81%,2011
LAMBAYEQUE,PERÚ POSIBLE,ALIANZA ELECTORAL,"70,462",11.89%,2011
LAMBAYEQUE,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"53,306",9.00%,2011
LAMBAYEQUE,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,778,0.13%,2011
LAMBAYEQUE,DESPERTAR NACIONAL,PARTIDO POLÍTICO,629,0.11%,2011
LAMBAYEQUE,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,422,0.07%,2011
LAMBAYEQUE,FUERZA NACIONAL,PARTIDO POLÍTICO,346,0.06%,2011
LAMBAYEQUE,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,230,0.04%,2011
LAMBAYEQUE,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,182,0.03%,2011
LIMA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"1,434,435",26.89%,2011
LIMA,FUERZA 2011,PARTIDO POLÍTICO,"1,213,857",22.75%,2011
LIMA,GANA PERU,PARTIDO POLÍTICO,"1,134,353",21.26%,2011
LIMA,PERÚ POSIBLE,ALIANZA ELECTORAL,"825,096",15.47%,2011
LIMA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"693,106",12.99%,2011
LIMA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"14,691",0.28%,2011
LIMA,FUERZA NACIONAL,PARTIDO POLÍTICO,"5,045",0.10%,2011
LIMA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,"4,833",0.09%,2011
LIMA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,"4,776",0.09%,2011
LIMA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,"2,792",0.05%,2011
LIMA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,"1,882",0.04%,2011
LORETO,PERÚ POSIBLE,ALIANZA ELECTORAL,"114,841",33.70%,2011
LORETO,GANA PERU,PARTIDO POLÍTICO,"99,744",29.27%,2011
LORETO,FUERZA 2011,PARTIDO POLÍTICO,"71,506",20.98%,2011
LORETO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"36,473",10.70%,2011
LORETO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"14,996",4.40%,2011
LORETO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,243",0.37%,2011
LORETO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,467,0.14%,2011
LORETO,FUERZA NACIONAL,PARTIDO POLÍTICO,449,0.13%,2011
LORETO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,439,0.13%,2011
LORETO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,339,0.10%,2011
LORETO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,281,0.08%,2011
MADRE DE DIOS,GANA PERU,PARTIDO POLÍTICO,"26,132",51.26%,2011
MADRE DE DIOS,PERÚ POSIBLE,ALIANZA ELECTORAL,"9,614",18.86%,2011
MADRE DE DIOS,FUERZA 2011,PARTIDO POLÍTICO,"7,970",15.63%,2011
MADRE DE DIOS,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"4,859",9.53%,2011
MADRE DE DIOS,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"2,156",4.23%,2011
MADRE DE DIOS,DESPERTAR NACIONAL,PARTIDO POLÍTICO,72,0.14%,2011
MADRE DE DIOS,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,54,0.11%,2011
MADRE DE DIOS,FUERZA NACIONAL,PARTIDO POLÍTICO,49,0.10%,2011
MADRE DE DIOS,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,41,0.08%,2011
MADRE DE DIOS,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,19,0.04%,2011
MADRE DE DIOS,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,15,0.03%,2011
MOQUEGUA,GANA PERU,PARTIDO POLÍTICO,"46,437",47.80%,2011
MOQUEGUA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"19,830",20.41%,2011
MOQUEGUA,PERÚ POSIBLE,ALIANZA ELECTORAL,"12,653",13.02%,2011
MOQUEGUA,FUERZA 2011,PARTIDO POLÍTICO,"11,871",12.22%,2011
MOQUEGUA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"5,783",5.95%,2011
MOQUEGUA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,145,0.15%,2011
MOQUEGUA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,114,0.12%,2011
MOQUEGUA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,113,0.12%,2011
MOQUEGUA,FUERZA NACIONAL,PARTIDO POLÍTICO,111,0.11%,2011
MOQUEGUA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,55,0.06%,2011
