Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
AYACUCHO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"133,899",52.40%,2016
AYACUCHO,ACCION POPULAR,PARTIDO POLÍTICO,"7,306",2.86%,2016
AYACUCHO,ALIANZA POPULAR,ALIANZA ELECTORAL,"5,861",2.29%,2016
AYACUCHO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"3,536",1.38%,2016
AYACUCHO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"2,266",0.89%,2016
AYACUCHO,PERU POSIBLE,PARTIDO POLÍTICO,"1,785",0.70%,2016
AYACUCHO,PROGRESANDO PERU,PARTIDO POLÍTICO,837,0.33%,2016
AYACUCHO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,349,0.14%,2016
AYACUCHO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,945,0.37%,2016
AYACUCHO,PERU LIBERTARIO,PARTIDO POLÍTICO,490,0.19%,2016
AYACUCHO,PERU NACION,PARTIDO POLÍTICO,223,0.09%,2016
AYACUCHO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,165,0.07%,2016
CAJAMARCA,FUERZA POPULAR,PARTIDO POLÍTICO,"196,086",31.93%,2016
CAJAMARCA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"52,002",8.47%,2016
CAJAMARCA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"62,205",10.13%,2016
CAJAMARCA,ACCION POPULAR,PARTIDO POLÍTICO,"26,239",4.27%,2016
CAJAMARCA,ALIANZA POPULAR,ALIANZA ELECTORAL,"15,715",2.56%,2016
CAJAMARCA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"248,667",40.49%,2016
CAJAMARCA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"3,155",0.51%,2016
CAJAMARCA,PERU POSIBLE,PARTIDO POLÍTICO,"5,397",0.88%,2016
CAJAMARCA,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,052",0.17%,2016
CAJAMARCA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,753,0.12%,2016
CAJAMARCA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,139",0.19%,2016
CAJAMARCA,PERU LIBERTARIO,PARTIDO POLÍTICO,874,0.14%,2016
CAJAMARCA,PERU NACION,PARTIDO POLÍTICO,443,0.07%,2016
CAJAMARCA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,444,0.07%,2016
CUSCO,FUERZA POPULAR,PARTIDO POLÍTICO,"128,818",21.60%,2016
CUSCO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"57,386",9.62%,2016
CUSCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"276,143",46.31%,2016
CUSCO,ACCION POPULAR,PARTIDO POLÍTICO,"62,621",10.50%,2016
CUSCO,ALIANZA POPULAR,ALIANZA ELECTORAL,"15,657",2.63%,2016
CUSCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"33,414",5.60%,2016
CUSCO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"9,663",1.62%,2016
CUSCO,PERU POSIBLE,PARTIDO POLÍTICO,"4,032",0.68%,2016
CUSCO,PROGRESANDO PERU,PARTIDO POLÍTICO,"3,031",0.51%,2016
CUSCO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"1,216",0.20%,2016
CUSCO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,917",0.32%,2016
CUSCO,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,276",0.21%,2016
CUSCO,PERU NACION,PARTIDO POLÍTICO,587,0.10%,2016
CUSCO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,500,0.08%,2016
HUANCAVELICA,FUERZA POPULAR,PARTIDO POLÍTICO,"43,029",28.59%,2016
HUANCAVELICA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"14,110",9.38%,2016
HUANCAVELICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"79,295",52.69%,2016
HUANCAVELICA,ACCION POPULAR,PARTIDO POLÍTICO,"3,872",2.57%,2016
HUANCAVELICA,ALIANZA POPULAR,ALIANZA ELECTORAL,"2,765",1.84%,2016
HUANCAVELICA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,497",1.66%,2016
HUANCAVELICA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,238",0.82%,2016
HUANCAVELICA,PERU POSIBLE,PARTIDO POLÍTICO,"2,129",1.42%,2016
HUANCAVELICA,PROGRESANDO PERU,PARTIDO POLÍTICO,302,0.20%,2016
HUANCAVELICA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,200,0.13%,2016
HUANCAVELICA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,379,0.25%,2016
HUANCAVELICA,PERU LIBERTARIO,PARTIDO POLÍTICO,395,0.26%,2016
HUANCAVELICA,PERU NACION,PARTIDO POLÍTICO,171,0.11%,2016
HUANCAVELICA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,121,0.08%,2016
HUANUCO,FUERZA POPULAR,PARTIDO POLÍTICO,"112,414",38.53%,2016
HUANUCO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"40,000",13.71%,2016
HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"86,717",29.72%,2016
HUANUCO,ACCION POPULAR,PARTIDO POLÍTICO,"17,761",6.09%,2016
HUANUCO,ALIANZA POPULAR,ALIANZA ELECTORAL,"10,852",3.72%,2016
HUANUCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,520",0.86%,2016
HUANUCO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"3,617",1.24%,2016
HUANUCO,PERU POSIBLE,PARTIDO POLÍTICO,"12,456",4.27%,2016
HUANUCO,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,579",0.54%,2016
HUANUCO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,565,0.19%,2016
HUANUCO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,284",0.44%,2016
HUANUCO,PERU LIBERTARIO,PARTIDO POLÍTICO,980,0.34%,2016
HUANUCO,PERU NACION,PARTIDO POLÍTICO,600,0.21%,2016
HUANUCO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,393,0.14%,2016
ICA,FUERZA POPULAR,PARTIDO POLÍTICO,"194,463",44.51%,2016
ICA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"69,137",15.82%,2016
ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"76,457",17.50%,2016
ICA,ACCION POPULAR,PARTIDO POLÍTICO,"48,776",11.16%,2016
ICA,ALIANZA POPULAR,ALIANZA ELECTORAL,"31,322",7.17%,2016
ICA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"3,317",0.76%,2016
ICA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"4,499",1.03%,2016
ICA,PERU POSIBLE,PARTIDO POLÍTICO,"4,940",1.13%,2016
ICA,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,160",0.27%,2016
ICA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,613,0.14%,2016
ICA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,383",0.32%,2016
ICA,PERU LIBERTARIO,PARTIDO POLÍTICO,355,0.08%,2016
ICA,PERU NACION,PARTIDO POLÍTICO,289,0.07%,2016
ICA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,240,0.06%,2016
JUNIN,FUERZA POPULAR,PARTIDO POLÍTICO,"248,217",43.05%,2016
JUNIN,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"121,109",21.00%,2016
JUNIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"128,257",22.24%,2016
JUNIN,ACCION POPULAR,PARTIDO POLÍTICO,"27,481",4.77%,2016
JUNIN,ALIANZA POPULAR,ALIANZA ELECTORAL,"18,561",3.22%,2016
JUNIN,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"7,255",1.26%,2016
JUNIN,FRENTE ESPERANZA,PARTIDO POLÍTICO,"9,131",1.58%,2016
JUNIN,PERU POSIBLE,PARTIDO POLÍTICO,"7,794",1.35%,2016
JUNIN,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,656",0.46%,2016
JUNIN,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,933,0.16%,2016
JUNIN,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,576",0.27%,2016
JUNIN,PERU LIBERTARIO,PARTIDO POLÍTICO,"2,563",0.44%,2016
JUNIN,PERU NACION,PARTIDO POLÍTICO,673,0.12%,2016
JUNIN,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,438,0.08%,2016
LA LIBERTAD,FUERZA POPULAR,PARTIDO POLÍTICO,"432,443",49.17%,2016
LA LIBERTAD,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"121,283",13.79%,2016
LA LIBERTAD,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"91,024",10.35%,2016
LA LIBERTAD,ACCION POPULAR,PARTIDO POLÍTICO,"59,338",6.75%,2016
LA LIBERTAD,ALIANZA POPULAR,ALIANZA ELECTORAL,"123,725",14.07%,2016
LA LIBERTAD,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"22,633",2.57%,2016
LA LIBERTAD,FRENTE ESPERANZA,PARTIDO POLÍTICO,"9,700",1.10%,2016
LA LIBERTAD,PERU POSIBLE,PARTIDO POLÍTICO,"10,294",1.17%,2016
LA LIBERTAD,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,111",0.24%,2016
LA LIBERTAD,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"2,381",0.27%,2016
LA LIBERTAD,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"2,236",0.25%,2016
LA LIBERTAD,PERU LIBERTARIO,PARTIDO POLÍTICO,938,0.11%,2016
LA LIBERTAD,PERU NACION,PARTIDO POLÍTICO,623,0.07%,2016
LA LIBERTAD,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,740,0.08%,2016
LAMBAYEQUE,FUERZA POPULAR,PARTIDO POLÍTICO,"313,728",50.27%,2016
LAMBAYEQUE,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"98,741",15.82%,2016
LAMBAYEQUE,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"67,615",10.83%,2016
LAMBAYEQUE,ACCION POPULAR,PARTIDO POLÍTICO,"46,138",7.39%,2016
LAMBAYEQUE,ALIANZA POPULAR,ALIANZA ELECTORAL,"60,149",9.64%,2016
LAMBAYEQUE,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"16,924",2.71%,2016
LAMBAYEQUE,FRENTE ESPERANZA,PARTIDO POLÍTICO,"6,272",1.01%,2016
LAMBAYEQUE,PERU POSIBLE,PARTIDO POLÍTICO,"5,057",0.81%,2016
LAMBAYEQUE,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,489",0.24%,2016
LAMBAYEQUE,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"4,490",0.72%,2016
LAMBAYEQUE,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,904",0.31%,2016
LAMBAYEQUE,PERU LIBERTARIO,PARTIDO POLÍTICO,561,0.09%,2016
LAMBAYEQUE,PERU NACION,PARTIDO POLÍTICO,392,0.06%,2016
LAMBAYEQUE,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,622,0.10%,2016
LIMA,FUERZA POPULAR,PARTIDO POLÍTICO,"2,305,333",40.35%,2016
LIMA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"1,692,811",29.63%,2016
LIMA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"683,653",11.97%,2016
LIMA,ACCION POPULAR,PARTIDO POLÍTICO,"406,137",7.11%,2016
LIMA,ALIANZA POPULAR,ALIANZA ELECTORAL,"354,441",6.20%,2016
LIMA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"40,485",0.71%,2016
LIMA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"70,182",1.23%,2016
LIMA,PERU POSIBLE,PARTIDO POLÍTICO,"64,835",1.14%,2016
LIMA,PROGRESANDO PERU,PARTIDO POLÍTICO,"26,435",0.46%,2016
LIMA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"39,667",0.69%,2016
LIMA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"15,905",0.28%,2016
LIMA,PERU LIBERTARIO,PARTIDO POLÍTICO,"5,462",0.10%,2016
LIMA,PERU NACION,PARTIDO POLÍTICO,"4,469",0.08%,2016
LIMA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,"3,838",0.07%,2016
LORETO,FUERZA POPULAR,PARTIDO POLÍTICO,"136,439",40.74%,2016
LORETO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"81,826",24.43%,2016
LORETO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"51,859",15.48%,2016
LORETO,ACCION POPULAR,PARTIDO POLÍTICO,"24,239",7.24%,2016
LORETO,ALIANZA POPULAR,ALIANZA ELECTORAL,"19,134",5.71%,2016
LORETO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"3,296",0.98%,2016
LORETO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"3,535",1.06%,2016
LORETO,PERU POSIBLE,PARTIDO POLÍTICO,"7,258",2.17%,2016
LORETO,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,726",0.81%,2016
LORETO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,511,0.15%,2016
LORETO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,575",0.47%,2016
LORETO,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,177",0.35%,2016
LORETO,PERU NACION,PARTIDO POLÍTICO,947,0.28%,2016
LORETO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,390,0.12%,2016
MADRE DE DIOS,FUERZA POPULAR,PARTIDO POLÍTICO,"26,656",43.87%,2016
MADRE DE DIOS,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"5,623",9.26%,2016
MADRE DE DIOS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"15,050",24.77%,2016
MADRE DE DIOS,ACCION POPULAR,PARTIDO POLÍTICO,"3,912",6.44%,2016
MADRE DE DIOS,ALIANZA POPULAR,ALIANZA ELECTORAL,"2,943",4.84%,2016
MADRE DE DIOS,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,524",4.15%,2016
MADRE DE DIOS,FRENTE ESPERANZA,PARTIDO POLÍTICO,850,1.40%,2016
MADRE DE DIOS,PERU POSIBLE,PARTIDO POLÍTICO,"1,532",2.52%,2016
MADRE DE DIOS,PROGRESANDO PERU,PARTIDO POLÍTICO,950,1.56%,2016
MADRE DE DIOS,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,79,0.13%,2016
MADRE DE DIOS,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,215,0.35%,2016
MADRE DE DIOS,PERU LIBERTARIO,PARTIDO POLÍTICO,178,0.29%,2016
MADRE DE DIOS,PERU NACION,PARTIDO POLÍTICO,44,0.07%,2016
MADRE DE DIOS,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,203,0.33%,2016
MOQUEGUA,FUERZA POPULAR,PARTIDO POLÍTICO,"24,310",24.21%,2016
MOQUEGUA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"27,853",27.74%,2016
MOQUEGUA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"31,382",31.26%,2016
MOQUEGUA,ACCION POPULAR,PARTIDO POLÍTICO,"7,386",7.36%,2016
MOQUEGUA,ALIANZA POPULAR,ALIANZA ELECTORAL,"3,659",3.64%,2016
MOQUEGUA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,537",1.53%,2016
MOQUEGUA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,811",1.80%,2016
MOQUEGUA,PERU POSIBLE,PARTIDO POLÍTICO,"1,061",1.06%,2016
MOQUEGUA,PROGRESANDO PERU,PARTIDO POLÍTICO,416,0.41%,2016
MOQUEGUA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,328,0.33%,2016
MOQUEGUA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,330,0.33%,2016
MOQUEGUA,PERU LIBERTARIO,PARTIDO POLÍTICO,166,0.17%,2016
MOQUEGUA,PERU NACION,PARTIDO POLÍTICO,96,0.10%,2016
MOQUEGUA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,70,0.07%,2016
PASCO,FUERZA POPULAR,PARTIDO POLÍTICO,"48,083",43.06%,2016
PASCO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"24,523",21.96%,2016
PASCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"22,615",20.25%,2016
PASCO,ACCION POPULAR,PARTIDO POLÍTICO,"5,425",4.86%,2016
PASCO,ALIANZA POPULAR,ALIANZA ELECTORAL,"5,280",4.73%,2016
PASCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,852,0.76%,2016
PASCO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,489",1.33%,2016
PASCO,PERU POSIBLE,PARTIDO POLÍTICO,"1,836",1.64%,2016
PASCO,PROGRESANDO PERU,PARTIDO POLÍTICO,406,0.36%,2016
PASCO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,146,0.13%,2016
PASCO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,491,0.44%,2016
PASCO,PERU LIBERTARIO,PARTIDO POLÍTICO,240,0.22%,2016
PASCO,PERU NACION,PARTIDO POLÍTICO,154,0.14%,2016
PASCO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,118,0.11%,2016
PIURA,FUERZA POPULAR,PARTIDO POLÍTICO,"456,685",54.65%,2016
PIURA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"104,844",12.55%,2016
PIURA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"127,952",15.31%,2016
PIURA,ACCION POPULAR,PARTIDO POLÍTICO,"46,595",5.58%,2016
PIURA,ALIANZA POPULAR,ALIANZA ELECTORAL,"49,037",5.87%,2016
PIURA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"25,569",3.06%,2016
PIURA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"7,237",0.87%,2016
PIURA,PERU POSIBLE,PARTIDO POLÍTICO,"8,236",0.99%,2016
PIURA,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,718",0.33%,2016
PIURA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"1,493",0.18%,2016
PIURA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"2,962",0.35%,2016
PIURA,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,140",0.14%,2016
PIURA,PERU NACION,PARTIDO POLÍTICO,645,0.08%,2016
PIURA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,612,0.07%,2016
PUNO,FUERZA POPULAR,PARTIDO POLÍTICO,"135,239",22.81%,2016
PUNO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"50,532",8.52%,2016
PUNO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"227,325",38.33%,2016
PUNO,ACCION POPULAR,PARTIDO POLÍTICO,"24,140",4.07%,2016
PUNO,ALIANZA POPULAR,ALIANZA ELECTORAL,"11,072",1.87%,2016
PUNO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"117,669",19.84%,2016
PUNO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"14,722",2.48%,2016
PUNO,PERU POSIBLE,PARTIDO POLÍTICO,"5,520",0.93%,2016
PUNO,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,009",0.34%,2016
PUNO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"1,202",0.20%,2016
PUNO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,359",0.23%,2016
PUNO,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,160",0.20%,2016
PUNO,PERU NACION,PARTIDO POLÍTICO,513,0.09%,2016
PUNO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,558,0.09%,2016
SAN MARTIN,FUERZA POPULAR,PARTIDO POLÍTICO,"166,236",48.11%,2016
SAN MARTIN,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"43,550",12.60%,2016
SAN MARTIN,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"72,618",21.02%,2016
SAN MARTIN,ACCION POPULAR,PARTIDO POLÍTICO,"23,300",6.74%,2016
SAN MARTIN,ALIANZA POPULAR,ALIANZA ELECTORAL,"20,188",5.84%,2016
SAN MARTIN,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"9,440",2.73%,2016
SAN MARTIN,FRENTE ESPERANZA,PARTIDO POLÍTICO,"3,437",1.00%,2016
SAN MARTIN,PERU POSIBLE,PARTIDO POLÍTICO,"2,737",0.79%,2016
SAN MARTIN,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,063",0.31%,2016
SAN MARTIN,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,419,0.12%,2016
SAN MARTIN,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,186",0.34%,2016
SAN MARTIN,PERU LIBERTARIO,PARTIDO POLÍTICO,728,0.21%,2016
SAN MARTIN,PERU NACION,PARTIDO POLÍTICO,407,0.12%,2016
SAN MARTIN,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,213,0.06%,2016
TACNA,FUERZA POPULAR,PARTIDO POLÍTICO,"40,071",20.91%,2016
TACNA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"29,859",15.58%,2016
TACNA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"78,500",40.97%,2016
TACNA,ACCION POPULAR,PARTIDO POLÍTICO,"18,455",9.63%,2016
TACNA,ALIANZA POPULAR,ALIANZA ELECTORAL,"5,929",3.09%,2016
TACNA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"9,307",4.86%,2016
TACNA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"4,807",2.51%,2016
TACNA,PERU POSIBLE,PARTIDO POLÍTICO,"1,339",0.70%,2016
TACNA,PROGRESANDO PERU,PARTIDO POLÍTICO,"1,740",0.91%,2016
TACNA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,436,0.23%,2016
TACNA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,495,0.26%,2016
TACNA,PERU LIBERTARIO,PARTIDO POLÍTICO,357,0.19%,2016
TACNA,PERU NACION,PARTIDO POLÍTICO,175,0.09%,2016
TACNA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,138,0.07%,2016
TUMBES,FUERZA POPULAR,PARTIDO POLÍTICO,"70,029",64.25%,2016
TUMBES,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"13,189",12.10%,2016
TUMBES,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"11,825",10.85%,2016
TUMBES,ACCION POPULAR,PARTIDO POLÍTICO,"4,933",4.53%,2016
TUMBES,ALIANZA POPULAR,ALIANZA ELECTORAL,"4,973",4.56%,2016
TUMBES,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,635,0.58%,2016
TUMBES,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,103",1.01%,2016
TUMBES,PERU POSIBLE,PARTIDO POLÍTICO,"1,515",1.39%,2016
TUMBES,PROGRESANDO PERU,PARTIDO POLÍTICO,217,0.20%,2016
TUMBES,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,120,0.11%,2016
TUMBES,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,232,0.21%,2016
TUMBES,PERU LIBERTARIO,PARTIDO POLÍTICO,103,0.10%,2016
TUMBES,PERU NACION,PARTIDO POLÍTICO,77,0.07%,2016
TUMBES,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,42,0.04%,2016
CALLAO,FUERZA POPULAR,PARTIDO POLÍTICO,"222,171",40.22%,2016
CALLAO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"153,850",27.85%,2016
CALLAO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"61,765",11.18%,2016
CALLAO,ACCION POPULAR,PARTIDO POLÍTICO,"39,187",7.09%,2016
CALLAO,ALIANZA POPULAR,ALIANZA ELECTORAL,"45,823",8.29%,2016
CALLAO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"4,289",0.78%,2016
CALLAO,FRENTE ESPERANZA,PARTIDO POLÍTICO,"7,538",1.36%,2016
CALLAO,PERU POSIBLE,PARTIDO POLÍTICO,"6,823",1.24%,2016
CALLAO,PROGRESANDO PERU,PARTIDO POLÍTICO,"3,381",0.61%,2016
CALLAO,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"4,241",0.77%,2016
CALLAO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"1,796",0.33%,2016
CALLAO,PERU LIBERTARIO,PARTIDO POLÍTICO,656,0.12%,2016
CALLAO,PERU NACION,PARTIDO POLÍTICO,480,0.09%,2016
CALLAO,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,455,0.08%,2016
UCAYALI,FUERZA POPULAR,PARTIDO POLÍTICO,"105,050",52.22%,2016
UCAYALI,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"29,155",14.49%,2016
UCAYALI,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"33,668",16.74%,2016
